frame_id,timestamp,tracking_state,error_px,latency_ms,atmosphere,gaussian_std,sp_density,platform_offset,jitter_offset
0,0.03333333333333333,BEACON_DETECTED,13.579818639097644,40.51637649536133,Fog,12.0,0.04,"(0.335005229833597, 7.992982640790867)","(3.28747258267156, -0.7334587229753726)"
1,0.06666666666666667,BEACON_DETECTED,19.774609173711696,11.94310188293457,Fog,12.0,0.04,"(0.6694227466585239, 7.971942873996035)","(4.30317503893659, 2.3684163487123673)"
2,0.1,ACQUISITION,20.244525551632776,11.293649673461914,Fog,12.0,0.04,"(1.002665868514434, 7.936917610515823)","(-4.869871825348206, 5.707468219641072)"
3,0.13333333333333333,LOCKED,22.72183187680267,13.150215148925781,Fog,12.0,0.04,"(1.334149973728818, 7.88796829656404)","(3.1336764238842356, 3.4327716633234466)"
4,0.16666666666666666,LOCKED,15.608174669631241,10.498285293579102,Fog,12.0,0.04,"(1.6632935265420745, 7.8251808058704455)","(-4.4626364078934495, -0.5953687452531948)"
5,0.19999999999999998,LOCKED,25.46814709528723,9.895563125610352,Fog,12.0,0.04,"(1.989519097318838, 7.7486652890290495)","(-1.5504237092090252, 5.121179866183223)"
6,0.2333333333333333,LOCKED,24.7847627397338,10.446786880493164,Fog,12.0,0.04,"(2.3122543755557725, 7.658555980256538)","(1.726381440967975, 3.8731393592499597)"
7,0.26666666666666666,LOCKED,18.852577612938514,9.790897369384766,Fog,12.0,0.04,"(2.630933173908666, 7.555010961899849)","(-0.6790296140720269, -3.2731353385826774)"
8,0.3,LOCKED,20.03939175830214,9.467601776123047,Fog,12.0,0.04,"(2.9449964214774234, 7.438211887106012)","(0.6550174441900172, -5.234192926749897)"
9,0.3333333333333333,LOCKED,28.377017300266555,9.871244430541992,Fog,12.0,0.04,"(3.2538931446064012, 7.308363661140807)","(3.9315740639109844, 1.5799727894647777)"
10,0.36666666666666664,LOCKED,24.745609593790544,9.647130966186523,Fog,12.0,0.04,"(3.5570814334794196, 7.165694081915303)","(3.097052881024485, -1.74568838244158)"
11,0.39999999999999997,LOCKED,29.78022209300821,10.051250457763672,Fog,12.0,0.04,"(3.8540293928137217, 7.010453440350909)","(5.648376292738838, 4.717453455866373)"
12,0.4333333333333333,LOCKED,20.17122174754612,10.085105895996094,Fog,12.0,0.04,"(4.144216074985041, 6.842914081284054)","(3.340601964885142, -3.664335505776389)"
13,0.4666666666666666,LOCKED,17.59080437572347,9.624242782592773,Fog,12.0,0.04,"(4.427132393946752, 6.663369925680796)","(-0.39934795527558986, -5.474354810553255)"
14,0.49999999999999994,LOCKED,23.59914518361054,9.68313217163086,Fog,12.0,0.04,"(4.702282018339784, 6.47213595499958)","(-4.1485260951894265, 2.1965874389094555)"
15,0.5333333333333333,LOCKED,30.583587422025026,10.41412353515625,Fog,12.0,0.04,"(4.969182242226482, 6.269547658606719)","(2.937145870893806, 5.610116789210521)"
16,0.5666666666666667,LOCKED,18.845213038211927,10.160684585571289,Fog,12.0,0.04,"(5.227364831920843, 6.055960445214051)","(-2.0900957023421767, -1.5544835275815734)"
17,0.6,LOCKED,19.726777436280567,9.661674499511719,Fog,12.0,0.04,"(5.476376847429509, 5.831749019371292)","(-0.3653302646903054, -3.7263436909885717)"
18,0.6333333333333333,LOCKED,20.73720457618368,9.514808654785156,Fog,12.0,0.04,"(5.715781437062427, 5.597306724106923)","(-4.44094193597434, -0.2915408852887946)"
19,0.6666666666666666,LOCKED,24.330578706665275,9.983539581298828,Fog,12.0,0.04,"(5.945158603819153, 5.353044850870866)","(-3.2770878113893906, 2.037767936190125)"
20,0.7,LOCKED,26.04424476220027,10.629653930664062,Fog,12.0,0.04,"(6.164105942206313, 5.099391917989519)","(-0.7541769735320312, 3.992138352694049)"
21,0.7333333333333333,LOCKED,23.512309517004642,10.15782356262207,Fog,12.0,0.04,"(6.37223934419357, 4.8367929188989995)","(2.403181224026989, -2.251600303415507)"
22,0.7666666666666666,LOCKED,27.794520278064077,9.770870208740234,Fog,12.0,0.04,"(6.569193673069631, 4.565708541475455)","(3.987117616742413, 3.657172289961622)"
23,0.7999999999999999,LOCKED,17.90210865486251,9.839534759521484,Fog,12.0,0.04,"(6.75462340401612, 4.286614359831974)","(-1.350259451637907, -2.5400627528370707)"
24,0.8333333333333333,LOCKED,21.319559575286625,11.0321044921875,Fog,12.0,0.04,"(6.928203230275509, 4.000000000000001)","(2.1899460476997064, -4.322970196688282)"
25,0.8666666666666666,LOCKED,15.146091046646005,11.018514633178711,Fog,12.0,0.04,"(7.089628633849718, 3.7063682809588943)","(-3.6011015702987, -5.911652762987934)"
26,0.8999999999999999,LOCKED,28.66675710717898,9.64212417602539,Fog,12.0,0.04,"(7.238616419728156, 3.4062343325205826)","(3.4430925300256607, 1.9782102791043856)"
27,0.9333333333333332,LOCKED,26.508212023138825,9.973287582397461,Fog,12.0,0.04,"(7.374905212708004, 3.100124691616825)","(2.461984543516021, 3.368748372263614)"
28,0.9666666666666666,LOCKED,20.606745976571336,9.937047958374023,Fog,12.0,0.04,"(7.498255915935132, 2.7885763785745223)","(-0.49301069353992055, 0.8248943514347253)"
29,0.9999999999999999,LOCKED,13.271224437124202,9.635686874389648,Fog,12.0,0.04,"(7.608452130361228, 2.4721359549995814)","(-4.322436022468111, -4.625639117568319)"
30,1.0333333333333332,LOCKED,23.92380097127307,10.251522064208984,Fog,12.0,0.04,"(7.705300534381265, 2.1513585649221274)","(2.02083554148566, -0.3468455262824097)"
31,1.0666666666666667,LOCKED,24.14670362036198,9.883880615234375,Fog,12.0,0.04,"(7.788631222985281, 1.826806960885247)","(0.7828332777742659, 3.179986288992307)"
32,1.1,LOCKED,21.397273124783762,9.320735931396484,Fog,12.0,0.04,"(7.85829800582951, 1.4990505166857961)","(1.6166198400070897, 0.6429528078959503)"
